Gene Name	Gene Description	Source	TED
ABCC3	"ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]"	"Diaz-Gimeno et al., 2011 Top50"	1
ABLIM3	"actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]"	Diaz-Gimeno et al., 2011	0
ACADSB	"acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]"	"Diaz-Gimeno et al., 2011 Top50"	0
ACTA2	"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"	Diaz-Gimeno et al., 2011	0
ACTB	"actin beta [Source:HGNC Symbol;Acc:HGNC:132]"	HouseKeeping	0
ACTG1	"actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]"	HouseKeeping	0
ADAMTS1	"ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]"	Diaz-Gimeno et al., 2011	0
ADAMTS8	"ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]"	Diaz-Gimeno et al., 2011	0
ADGRG2	"adhesion G protein-coupled receptor G2 [Source:HGNC Symbol;Acc:HGNC:4516]"	Diaz-Gimeno et al., 2011	0
ADRA2A	"adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]"	Diaz-Gimeno et al., 2011	0
ADSS2	"adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]"	Top50	0
AGR2	"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]"	Diaz-Gimeno et al., 2011	0
AIMP1	"aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]"	Diaz-Gimeno et al., 2011	0
ALDH1A3	"aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]"	Enciso et al., 2013	0
ALPL	"alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]"	"Diaz-Gimeno et al., 2011 Top50"	1
AMIGO2	"adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]"	Diaz-Gimeno et al., 2011	0
ANGPTL1	"angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489]"	"Enciso et al., 2013 Hamamah, 2013"	0
ANK3	"ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]"	Diaz-Gimeno et al., 2011	0
ANO1	"anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]"	Diaz-Gimeno et al., 2011	0
ANXA4	"annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]"	"Diaz-Gimeno et al., 2011 Enciso et al., 2013 Top50"	0
AOX1	"aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]"	Diaz-Gimeno et al., 2011	0
APOD	"apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]"	Enciso et al., 2013	0
APOL2	"apolipoprotein L2 [Source:HGNC Symbol;Acc:HGNC:619]"	Enciso et al., 2013	0
AQP3	"aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]"	"Diaz-Gimeno et al., 2011 Enciso et al., 2013"	0
ARG2	"arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]"	"Diaz-Gimeno et al., 2011 Enciso et al., 2013"	1
ARHGAP45	"Rho GTPase activating protein 45 [Source:HGNC Symbol;Acc:HGNC:17102]"	Diaz-Gimeno et al., 2011	0
ARHGDIA	"Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]"	Enciso et al., 2013	0
ARHGDIB	"Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]"	Diaz-Gimeno et al., 2011	0
ARID5B	"AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]"	"Diaz-Gimeno et al., 2011 Top50"	1
ASPM	"assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]"	Diaz-Gimeno et al., 2011	0
ASS1	"argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]"	Diaz-Gimeno et al., 2011	0
ATP1B1	"ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]"	Diaz-Gimeno et al., 2011	0
ATP6V0E2	"ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]"	Diaz-Gimeno et al., 2011	1
ATP6V1A	"ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]"	Diaz-Gimeno et al., 2011	0
BARD1	"BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]"	Diaz-Gimeno et al., 2011	0
BCL2L10	"BCL2 like 10 [Source:HGNC Symbol;Acc:HGNC:993]"	Hamamah, 2013	0
BCL6	"BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]"	Diaz-Gimeno et al., 2011	0
BIRC3	"baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]"	Diaz-Gimeno et al., 2011	1
BUB1B	"BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]"	Diaz-Gimeno et al., 2011	0
C16orf70	"chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]"	Top50	0
C1R	"complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]"	Top50	0
