sample,fastq_1,fastq_2,strandedness
4_1_UF,./fastq_mirna/4_1_UF_S23_R1_001.fastq.gz,,reverse
4_1_biopsy,./fastq_mirna/4_1_biopsy_S12_R1_001.fastq.gz,,reverse
4_2_UF,./fastq_mirna/4_2_UF_S24_R1_001.fastq.gz,,reverse
4_2_biopsy,./fastq_mirna/4_2_biopsy_S13_R1_001.fastq.gz,,reverse
4_3_UF,./fastq_mirna/4_3_UF_S25_R1_001.fastq.gz,,reverse
4_3_biopsy,./fastq_mirna/4_3_biopsy_S14_R1_001.fastq.gz,,reverse
7_1_UF,./fastq_mirna/7_1_UF_S26_R1_001.fastq.gz,,reverse
7_1_biopsy,./fastq_mirna/7_1_biopsy_S15_R1_001.fastq.gz,,reverse
7_2_UF,./fastq_mirna/7_2_UF_S27_R1_001.fastq.gz,,reverse
7_2_biopsy,./fastq_mirna/7_2_biopsy_S16_R1_001.fastq.gz,,reverse
7_3_UF,./fastq_mirna/7_3_UF_S28_R1_001.fastq.gz,,reverse
7_3_biopsy,./fastq_mirna/7_3_biopsy_S17_R1_001.fastq.gz,,reverse
82_2_UF,./fastq_mirna/82_2_UF_S20_R1_001.fastq.gz,,reverse
82_7_UF,./fastq_mirna/82_7_UF_S21_R1_001.fastq.gz,,reverse
82_9_UF,./fastq_mirna/82_9_UF_S22_R1_001.fastq.gz,,reverse
HU10_UF,./fastq_mirna/HU10_UF_S31_R1_001.fastq.gz,,reverse
HUT01_UF,./fastq_mirna/HUT01_UF_S32_R1_001.fastq.gz,,reverse
HUT01_biopsy,./fastq_mirna/HUT01_biopsy_S21_R1_001.fastq.gz,,reverse
HUT06_UF,./fastq_mirna/HUT06_UF_S37_R1_001.fastq.gz,,reverse
HUT06_biopsy,./fastq_mirna/HUT06_biopsy_S26_R1_001.fastq.gz,,reverse
HUT13_UF,./fastq_mirna/HUT13_UF_S11_R1_001.fastq.gz,,reverse
HUT13_biopsy,./fastq_mirna/HUT13_biopsy_S1_R1_001.fastq.gz,,reverse
HUT15_UF,./fastq_mirna/HUT15_UF_S12_R1_001.fastq.gz,,reverse
HUT15_biopsy,./fastq_mirna/HUT15_biopsy_S2_R1_001.fastq.gz,,reverse
HUT17_UF,./fastq_mirna/HUT17_UF_S13_R1_001.fastq.gz,,reverse
HUT17_biopsy,./fastq_mirna/HUT17_biopsy_S3_R1_001.fastq.gz,,reverse
HUT19_UF,./fastq_mirna/HUT19_UF_S14_R1_001.fastq.gz,,reverse
HUT19_biopsy,./fastq_mirna/HUT19_biopsy_S4_R1_001.fastq.gz,,reverse
HUT21_UF,./fastq_mirna/HUT21_UF_S38_R1_001.fastq.gz,,reverse
HUT21_biopsy,./fastq_mirna/HUT21_biopsy_S27_R1_001.fastq.gz,,reverse
HUT23_UF,./fastq_mirna/HUT23_UF_S33_R1_001.fastq.gz,,reverse
HUT23_biopsy,./fastq_mirna/HUT23_biopsy_S22_R1_001.fastq.gz,,reverse
HUT24_UF,./fastq_mirna/HUT24_UF_S34_R1_001.fastq.gz,,reverse
HUT24_biopsy,./fastq_mirna/HUT24_biopsy_S23_R1_001.fastq.gz,,reverse
HUT26_UF,./fastq_mirna/HUT26_UF_S35_R1_001.fastq.gz,,reverse
HUT26_biopsy,./fastq_mirna/HUT26_biopsy_S24_R1_001.fastq.gz,,reverse
HUT31_UF,./fastq_mirna/HUT31_UF_S15_R1_001.fastq.gz,,reverse
HUT31_biopsy,./fastq_mirna/HUT31_biopsy_S5_R1_001.fastq.gz,,reverse
HUT33_UF,./fastq_mirna/HUT33_UF_S36_R1_001.fastq.gz,,reverse
HUT33_biopsy,./fastq_mirna/HUT33_biopsy_S25_R1_001.fastq.gz,,reverse
HUT35_UF,./fastq_mirna/HUT35_UF_S33_R1_001.fastq.gz,,reverse
HUT39_UF,./fastq_mirna/HUT39_UF_S17_R1_001.fastq.gz,,reverse
HUT39_biopsy,./fastq_mirna/HUT39_biopsy_S7_R1_001.fastq.gz,,reverse
HUT40_UF,./fastq_mirna/HUT40_UF_S42_R1_001.fastq.gz,,reverse
HUT40_biopsy,./fastq_mirna/HUT40_biopsy_S31_R1_001.fastq.gz,,reverse
HUT42_UF,./fastq_mirna/HUT42_UF_S32_R1_001.fastq.gz,,reverse
HUT43_UF,./fastq_mirna/HUT43_UF_S18_R1_001.fastq.gz,,reverse
HUT43_biopsy,./fastq_mirna/HUT43_biopsy_S8_R1_001.fastq.gz,,reverse
HUT47_UF,./fastq_mirna/HUT47_UF_S39_R1_001.fastq.gz,,reverse
HUT47_biopsy,./fastq_mirna/HUT47_biopsy_S28_R1_001.fastq.gz,,reverse
HUT49_UF,./fastq_mirna/HUT49_UF_S19_R1_001.fastq.gz,,reverse
HUT49_biopsy,./fastq_mirna/HUT49_biopsy_S9_R1_001.fastq.gz,,reverse
HUT53_UF,./fastq_mirna/HUT53_UF_S20_R1_001.fastq.gz,,reverse
HUT53_biopsy,./fastq_mirna/HUT53_biopsy_S10_R1_001.fastq.gz,,reverse
HUT5_UF,./fastq_mirna/HUT5_UF_S16_R1_001.fastq.gz,,reverse
HUT5_biopsy,./fastq_mirna/HUT5_biopsy_S6_R1_001.fastq.gz,,reverse
HUT67_UF,./fastq_mirna/HUT67_UF_S40_R1_001.fastq.gz,,reverse
HUT67_biopsy,./fastq_mirna/HUT67_biopsy_S29_R1_001.fastq.gz,,reverse
