sample,fastq_1,fastq_2,strandedness
AAG_L001,./fastq_mrna/AAG_S5_L001_R1_001.fastq.gz,,reverse
AIMXX_L001,./fastq_mrna/AIMXX_S11_L001_R1_001.fastq.gz,,reverse
BBA_L001,./fastq_mrna/BBA_S7_L001_R1_001.fastq.gz,,reverse
DCRB_L001,./fastq_mrna/DCRB_S8_L001_R1_001.fastq.gz,,reverse
EAP_L001,./fastq_mrna/EAP_S6_L001_R1_001.fastq.gz,,reverse
EMP_L001,./fastq_mrna/EMP_S3_L001_R1_001.fastq.gz,,reverse
JRM_L001,./fastq_mrna/JRM_S2_L001_R1_001.fastq.gz,,reverse
JUG_L001,./fastq_mrna/JUG_S12_L001_R1_001.fastq.gz,,reverse
LDAM_L001,./fastq_mrna/LDAM_S10_L001_R1_001.fastq.gz,,reverse
NMS_L001,./fastq_mrna/NMS_S1_L001_R1_001.fastq.gz,,reverse
PFB_L001,./fastq_mrna/PFB_S4_L001_R1_001.fastq.gz,,reverse
SMG_L001,./fastq_mrna/SMG_S9_L001_R1_001.fastq.gz,,reverse
